user,window_start_idx,reconstruction_error,is_anomaly
HVF0067,530,2.265730381011963,True
GJD0298,95,2.1661906242370605,True
CUD0795,45,1.9902784824371338,True
PDH0716,100,1.9890453815460205,True
HDH0928,1100,1.9759173393249512,True
RJM0381,265,1.9504389762878418,True
HVF0067,535,1.916650652885437,True
IRM0931,615,1.8908971548080444,True
RDT0424,1025,1.8273561000823975,True
RLG0856,535,1.8218082189559937,True
VMJ0147,1325,1.7966104745864868,True
HDH0928,525,1.7963489294052124,True
JDC0030,1355,1.7936152219772339,True
MOS0047,620,1.7825580835342407,True
GQP0743,1575,1.7654231786727905,True
JMK0099,180,1.7556147575378418,True
HCM0267,690,1.7155958414077759,True
VCC0396,570,1.7012542486190796,True
GLR0975,525,1.6936113834381104,True
SJO0209,1550,1.6927465200424194,True
